"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kaskazini Unguja_Kaskazini 'B'",0.6381,0.6407,0.5511,0.7151,0.164,0.135
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Katavi_Lake Rukwa",0.7973,0.8104,0.6441,0.9083,0.2642,0.4409
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Katavi_Lake Tanganyika",0.7947,0.8094,0.6407,0.9106,0.2699,0.4573
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Katavi_Mlele",0.8564,0.858,0.8284,0.8816,0.05316,0.1141
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Katavi_Mpanda Rural",0.7673,0.7701,0.699,0.8259,0.1269,0.1653
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Katavi_Mpanda Urban",0.7848,0.7858,0.7368,0.8264,0.08967,0.1238
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Buhigwe",0.6043,0.605,0.5055,0.7008,0.1953,0.1512
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kakonko",0.6276,0.628,0.5822,0.6736,0.09143,0.07538
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kasulu",0.6514,0.6565,0.5289,0.7592,0.2302,0.2116
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kasulu Town",0.6191,0.6191,0.6057,0.6321,0.02641,0.02139
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kibondo",0.5896,0.5893,0.5634,0.6135,0.05015,0.03809
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kigoma Rural",0.5926,0.5955,0.4619,0.7188,0.2569,0.1894
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Kigoma Urban",0.4608,0.4605,0.409,0.5155,0.1065,0.07139
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Lake Tanganyika",0.5905,0.5882,0.4143,0.7645,0.3502,0.256
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kigoma_Uvinza",0.5917,0.5929,0.4824,0.6978,0.2154,0.1593
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Hai",0.4853,0.485,0.3662,0.6124,0.2461,0.154
"TZA","Tanzania",2022,"TZ2022DHS","ML_NETC_C_ITN",2,"Kilimanjaro_Moshi Rural",0.4489,0.4458,0.3114,0.593,0.2815,0.1937
